NHGISCODE,GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME,AV0AA,B18AA,B18AB,B18AC,B18AD,B18AE,B70AA,B70AB,B70AC,B70AD,B70AE,B70AF,B70AG,B70AH,B70AI,B70AJ,A41AA,B70AAM,B70ABM,B70ACM,B70ADM,B70AEM,B70AFM,B70AGM,B70AHM,B70AIM,B70AJM
G1100010000100,G11000100001,1980,District of Columbia,11,110,District of Columbia,001,0010,000100,State: 11 County: 001 Tract: 1,4744,4541,93,8,78,,335,202,268,310,255,135,136,221,353,332,2802,,,,,,,,,,
G1100010000200,G11000100002,1980,District of Columbia,11,110,District of Columbia,001,0010,000200,State: 11 County: 001 Tract: 2,6104,5718,183,23,99,,203,131,207,93,149,134,79,182,187,209,1666,,,,,,,,,,
G1100010000300,G11000100003,1980,District of Columbia,11,110,District of Columbia,001,0010,000300,State: 11 County: 001 Tract: 3,5240,4917,119,7,76,,533,331,344,281,197,131,163,220,265,64,2570,,,,,,,,,,
G1100010000400,G11000100004,1980,District of Columbia,11,110,District of Columbia,001,0010,000400,State: 11 County: 001 Tract: 4,1561,1489,38,14,36,,38,35,27,35,16,38,46,42,129,174,645,,,,,,,,,,
G1100010000501,G1100010000501,1980,District of Columbia,11,110,District of Columbia,001,0010,000501,State: 11 County: 001 Tract: 5.01,2652,2412,107,15,79,,334,324,274,171,204,169,75,136,76,104,1941,,,,,,,,,,
G1100010000502,G1100010000502,1980,District of Columbia,11,110,District of Columbia,001,0010,000502,State: 11 County: 001 Tract: 5.02,3581,3289,154,0,44,,380,168,255,228,148,120,82,92,288,199,2119,,,,,,,,,,
G1100010000600,G11000100006,1980,District of Columbia,11,110,District of Columbia,001,0010,000600,State: 11 County: 001 Tract: 6,4551,4091,176,23,139,,321,214,185,216,97,147,105,215,262,260,2078,,,,,,,,,,
G1100010000701,G1100010000701,1980,District of Columbia,11,110,District of Columbia,001,0010,000701,State: 11 County: 001 Tract: 7.01,5559,5259,155,0,87,,618,529,427,415,261,282,284,195,331,291,3824,,,,,,,,,,
G1100010000702,G1100010000702,1980,District of Columbia,11,110,District of Columbia,001,0010,000702,State: 11 County: 001 Tract: 7.02,2839,2668,92,0,47,,404,463,441,266,179,188,48,104,52,14,2298,,,,,,,,,,
G1100010000801,G1100010000801,1980,District of Columbia,11,110,District of Columbia,001,0010,000801,State: 11 County: 001 Tract: 8.01,4243,4171,36,0,62,,172,153,113,128,120,187,109,149,338,413,2162,,,,,,,,,,
G1100010000802,G1100010000802,1980,District of Columbia,11,110,District of Columbia,001,0010,000802,State: 11 County: 001 Tract: 8.02,2483,2325,67,0,9,,176,133,171,122,57,112,83,46,168,109,1246,,,,,,,,,,
G1100010000901,G1100010000901,1980,District of Columbia,11,110,District of Columbia,001,0010,000901,State: 11 County: 001 Tract: 9.01,5625,5127,313,10,103,,99,59,55,56,38,49,59,135,293,390,1302,,,,,,,,,,
G1100010000902,G1100010000902,1980,District of Columbia,11,110,District of Columbia,001,0010,000902,State: 11 County: 001 Tract: 9.02,1854,1775,71,0,28,,113,86,52,77,92,69,51,76,94,117,814,,,,,,,,,,
G1100010001001,G1100010001001,1980,District of Columbia,11,110,District of Columbia,001,0010,001001,State: 11 County: 001 Tract: 10.01,6267,6027,148,16,115,,405,211,257,208,229,215,237,279,467,141,2641,,,,,,,,,,
G1100010001002,G1100010001002,1980,District of Columbia,11,110,District of Columbia,001,0010,001002,State: 11 County: 001 Tract: 10.02,2071,1700,167,9,89,,345,202,175,116,78,77,21,42,63,13,1688,,,,,,,,,,
G1100010001100,G11000100011,1980,District of Columbia,11,110,District of Columbia,001,0010,001100,State: 11 County: 001 Tract: 11,4567,4194,169,0,183,,215,145,145,110,168,197,131,189,234,197,1873,,,,,,,,,,
G1100010001200,G11000100012,1980,District of Columbia,11,110,District of Columbia,001,0010,001200,State: 11 County: 001 Tract: 12,4910,4434,257,7,58,,313,304,337,274,299,191,132,235,350,81,2579,,,,,,,,,,
G1100010001301,G1100010001301,1980,District of Columbia,11,110,District of Columbia,001,0010,001301,State: 11 County: 001 Tract: 13.01,3515,3146,260,0,49,,288,212,271,189,221,89,38,121,203,270,1933,,,,,,,,,,
G1100010001302,G1100010001302,1980,District of Columbia,11,110,District of Columbia,001,0010,001302,State: 11 County: 001 Tract: 13.02,5486,4863,381,6,138,,735,642,734,521,354,264,187,287,261,107,4332,,,,,,,,,,
G1100010001400,G11000100014,1980,District of Columbia,11,110,District of Columbia,001,0010,001400,State: 11 County: 001 Tract: 14,6336,5689,391,5,175,,569,288,271,202,216,183,123,341,483,99,2837,,,,,,,,,,
G1100010001500,G11000100015,1980,District of Columbia,11,110,District of Columbia,001,0010,001500,State: 11 County: 001 Tract: 15,5579,4969,511,0,84,,238,119,204,116,70,126,157,343,534,268,2259,,,,,,,,,,
G1100010001600,G11000100016,1980,District of Columbia,11,110,District of Columbia,001,0010,001600,State: 11 County: 001 Tract: 16,5101,1649,3373,7,8,,143,64,90,111,98,146,107,243,452,235,1738,,,,,,,,,,
G1100010001700,G11000100017,1980,District of Columbia,11,110,District of Columbia,001,0010,001700,State: 11 County: 001 Tract: 17,6042,1067,4799,45,71,,510,324,330,270,160,250,110,177,161,27,2410,,,,,,,,,,
G1100010001801,G1100010001801,1980,District of Columbia,11,110,District of Columbia,001,0010,001801,State: 11 County: 001 Tract: 18.01,724,311,363,0,39,,9,0,0,0,0,5,0,0,0,0,34,,,,,,,,,,
G1100010001803,G1100010001803,1980,District of Columbia,11,110,District of Columbia,001,0010,001803,State: 11 County: 001 Tract: 18.03,2848,284,2403,0,121,,434,307,268,166,152,83,42,38,75,13,1605,,,,,,,,,,
G1100010001804,G1100010001804,1980,District of Columbia,11,110,District of Columbia,001,0010,001804,State: 11 County: 001 Tract: 18.04,4205,228,3877,20,63,,469,310,300,261,193,122,52,79,92,11,1935,,,,,,,,,,
G1100010001901,G1100010001901,1980,District of Columbia,11,110,District of Columbia,001,0010,001901,State: 11 County: 001 Tract: 19.01,4876,158,4752,0,0,,266,183,281,204,157,109,118,129,76,31,1570,,,,,,,,,,
G1100010001902,G1100010001902,1980,District of Columbia,11,110,District of Columbia,001,0010,001902,State: 11 County: 001 Tract: 19.02,2682,312,2336,0,0,,116,68,130,98,85,62,80,121,51,26,885,,,,,,,,,,
G1100010002001,G1100010002001,1980,District of Columbia,11,110,District of Columbia,001,0010,002001,State: 11 County: 001 Tract: 20.01,2498,506,1744,9,28,,264,166,100,146,39,56,40,112,71,23,1146,,,,,,,,,,
G1100010002002,G1100010002002,1980,District of Columbia,11,110,District of Columbia,001,0010,002002,State: 11 County: 001 Tract: 20.02,4314,469,3956,52,0,,304,192,202,176,140,141,76,132,73,33,1417,,,,,,,,,,
G1100010002101,G1100010002101,1980,District of Columbia,11,110,District of Columbia,001,0010,002101,State: 11 County: 001 Tract: 21.01,5816,175,5602,11,10,,681,324,308,266,170,130,74,136,30,16,2238,,,,,,,,,,
G1100010002102,G1100010002102,1980,District of Columbia,11,110,District of Columbia,001,0010,002102,State: 11 County: 001 Tract: 21.02,5545,208,5292,16,13,,637,326,347,276,263,122,95,91,43,43,2279,,,,,,,,,,
G1100010002201,G1100010002201,1980,District of Columbia,11,110,District of Columbia,001,0010,002201,State: 11 County: 001 Tract: 22.01,4008,93,3908,0,7,,221,149,186,175,62,99,83,91,60,14,1177,,,,,,,,,,
G1100010002202,G1100010002202,1980,District of Columbia,11,110,District of Columbia,001,0010,002202,State: 11 County: 001 Tract: 22.02,3520,147,3326,0,5,,362,373,220,154,104,95,57,31,43,12,1490,,,,,,,,,,
G1100010002301,G1100010002301,1980,District of Columbia,11,110,District of Columbia,001,0010,002301,State: 11 County: 001 Tract: 23.01,3730,35,3608,0,0,,213,137,120,83,167,105,90,94,43,4,1158,,,,,,,,,,
G1100010002302,G1100010002302,1980,District of Columbia,11,110,District of Columbia,001,0010,002302,State: 11 County: 001 Tract: 23.02,2959,2503,518,0,18,,28,43,21,0,23,0,0,0,0,0,104,,,,,,,,,,
G1100010002400,G11000100024,1980,District of Columbia,11,110,District of Columbia,001,0010,002400,State: 11 County: 001 Tract: 24,4230,157,4031,0,7,,399,237,166,131,125,91,41,92,47,13,1424,,,,,,,,,,
G1100010002501,G1100010002501,1980,District of Columbia,11,110,District of Columbia,001,0010,002501,State: 11 County: 001 Tract: 25.01,2690,246,2444,0,0,,233,172,110,139,47,31,29,70,46,26,930,,,,,,,,,,
G1100010002502,G1100010002502,1980,District of Columbia,11,110,District of Columbia,001,0010,002502,State: 11 County: 001 Tract: 25.02,4910,185,4592,0,14,,698,293,292,156,138,98,61,82,79,6,2129,,,,,,,,,,
G1100010002600,G11000100026,1980,District of Columbia,11,110,District of Columbia,001,0010,002600,State: 11 County: 001 Tract: 26,2351,601,1758,8,19,,169,65,77,87,90,89,25,127,148,104,992,,,,,,,,,,
G1100010002701,G1100010002701,1980,District of Columbia,11,110,District of Columbia,001,0010,002701,State: 11 County: 001 Tract: 27.01,4575,1932,2302,7,220,,777,441,237,161,174,59,41,177,133,40,2591,,,,,,,,,,
G1100010002702,G1100010002702,1980,District of Columbia,11,110,District of Columbia,001,0010,002702,State: 11 County: 001 Tract: 27.02,5437,2171,2635,0,95,,821,357,272,227,121,113,66,163,108,26,2489,,,,,,,,,,
G1100010002800,G11000100028,1980,District of Columbia,11,110,District of Columbia,001,0010,002800,State: 11 County: 001 Tract: 28,6492,538,5293,16,114,,1540,582,291,206,82,87,29,42,14,30,3336,,,,,,,,,,
G1100010002900,G11000100029,1980,District of Columbia,11,110,District of Columbia,001,0010,002900,State: 11 County: 001 Tract: 29,4227,89,4058,12,8,,612,209,186,143,69,73,19,80,26,19,1548,,,,,,,,,,
G1100010003000,G11000100030,1980,District of Columbia,11,110,District of Columbia,001,0010,003000,State: 11 County: 001 Tract: 30,2556,76,2433,0,0,,427,127,177,49,81,41,13,22,40,0,1074,,,,,,,,,,
G1100010003100,G11000100031,1980,District of Columbia,11,110,District of Columbia,001,0010,003100,State: 11 County: 001 Tract: 31,3035,37,2927,0,0,,445,125,160,151,77,53,17,29,32,0,1178,,,,,,,,,,
G1100010003200,G11000100032,1980,District of Columbia,11,110,District of Columbia,001,0010,003200,State: 11 County: 001 Tract: 32,5165,40,4958,0,52,,558,279,234,207,129,139,73,43,29,0,1836,,,,,,,,,,
G1100010003301,G1100010003301,1980,District of Columbia,11,110,District of Columbia,001,0010,003301,State: 11 County: 001 Tract: 33.01,3683,79,3537,0,29,,291,253,147,124,105,47,64,43,35,13,1202,,,,,,,,,,
G1100010003302,G1100010003302,1980,District of Columbia,11,110,District of Columbia,001,0010,003302,State: 11 County: 001 Tract: 33.02,2794,91,2727,0,0,,308,201,64,20,35,33,73,51,36,8,914,,,,,,,,,,
G1100010003400,G11000100034,1980,District of Columbia,11,110,District of Columbia,001,0010,003400,State: 11 County: 001 Tract: 34,4808,39,4657,0,0,,515,166,120,150,61,56,27,17,18,0,1329,,,,,,,,,,
G1100010003500,G11000100035,1980,District of Columbia,11,110,District of Columbia,001,0010,003500,State: 11 County: 001 Tract: 35,2646,72,2601,0,0,,541,184,143,78,73,29,8,27,14,0,1118,,,,,,,,,,
G1100010003600,G11000100036,1980,District of Columbia,11,110,District of Columbia,001,0010,003600,State: 11 County: 001 Tract: 36,4974,786,4136,29,0,,842,277,127,86,49,25,32,77,21,29,1998,,,,,,,,,,
G1100010003700,G11000100037,1980,District of Columbia,11,110,District of Columbia,001,0010,003700,State: 11 County: 001 Tract: 37,4764,199,4434,10,27,,1024,321,197,122,37,51,25,0,11,0,2012,,,,,,,,,,
G1100010003800,G11000100038,1980,District of Columbia,11,110,District of Columbia,001,0010,003800,State: 11 County: 001 Tract: 38,4108,1028,2702,7,71,,792,311,249,207,131,165,49,89,61,8,2340,,,,,,,,,,
G1100010003900,G11000100039,1980,District of Columbia,11,110,District of Columbia,001,0010,003900,State: 11 County: 001 Tract: 39,5223,1991,2535,0,39,,833,608,385,284,200,141,96,117,115,14,2988,,,,,,,,,,
G1100010004000,G11000100040,1980,District of Columbia,11,110,District of Columbia,001,0010,004000,State: 11 County: 001 Tract: 40,6021,4272,1294,14,82,,923,657,447,435,268,153,166,177,192,136,3964,,,,,,,,,,
G1100010004100,G11000100041,1980,District of Columbia,11,110,District of Columbia,001,0010,004100,State: 11 County: 001 Tract: 41,2797,2515,103,0,130,,293,200,140,117,122,97,97,106,133,277,1840,,,,,,,,,,
G1100010004201,G1100010004201,1980,District of Columbia,11,110,District of Columbia,001,0010,004201,State: 11 County: 001 Tract: 42.01,3724,1184,2242,7,44,,693,436,199,90,110,98,18,68,64,38,2125,,,,,,,,,,
G1100010004202,G1100010004202,1980,District of Columbia,11,110,District of Columbia,001,0010,004202,State: 11 County: 001 Tract: 42.02,2920,2003,608,17,145,,524,372,263,175,94,64,77,65,84,34,2021,,,,,,,,,,
G1100010004300,G11000100043,1980,District of Columbia,11,110,District of Columbia,001,0010,004300,State: 11 County: 001 Tract: 43,3095,858,2269,0,12,,687,283,185,91,55,72,27,51,47,10,1831,,,,,,,,,,
G1100010004400,G11000100044,1980,District of Columbia,11,110,District of Columbia,001,0010,004400,State: 11 County: 001 Tract: 44,2028,106,1842,0,27,,286,106,125,37,69,65,9,19,7,11,863,,,,,,,,,,
G1100010004500,G11000100045,1980,District of Columbia,11,110,District of Columbia,001,0010,004500,State: 11 County: 001 Tract: 45,1567,42,1581,0,0,,245,97,51,14,41,36,7,34,0,10,579,,,,,,,,,,
G1100010004600,G11000100046,1980,District of Columbia,11,110,District of Columbia,001,0010,004600,State: 11 County: 001 Tract: 46,3349,26,3268,0,14,,583,140,112,43,72,46,37,19,0,0,1549,,,,,,,,,,
G1100010004700,G11000100047,1980,District of Columbia,11,110,District of Columbia,001,0010,004700,State: 11 County: 001 Tract: 47,4218,242,3960,0,16,,682,296,152,207,43,28,0,0,0,0,1562,,,,,,,,,,
G1100010004801,G1100010004801,1980,District of Columbia,11,110,District of Columbia,001,0010,004801,State: 11 County: 001 Tract: 48.01,2089,89,1874,0,0,,333,129,59,47,47,16,11,8,28,7,953,,,,,,,,,,
G1100010004802,G1100010004802,1980,District of Columbia,11,110,District of Columbia,001,0010,004802,State: 11 County: 001 Tract: 48.02,3005,102,3000,13,16,,642,207,108,103,25,51,17,0,3,7,1276,,,,,,,,,,
G1100010004901,G1100010004901,1980,District of Columbia,11,110,District of Columbia,001,0010,004901,State: 11 County: 001 Tract: 49.01,2325,112,2232,8,0,,435,164,63,74,10,18,44,10,19,0,969,,,,,,,,,,
G1100010004902,G1100010004902,1980,District of Columbia,11,110,District of Columbia,001,0010,004902,State: 11 County: 001 Tract: 49.02,1745,144,1461,0,55,,485,108,67,50,10,19,8,21,5,16,1022,,,,,,,,,,
G1100010005000,G11000100050,1980,District of Columbia,11,110,District of Columbia,001,0010,005000,State: 11 County: 001 Tract: 50,5439,1210,3977,8,98,,1486,469,327,163,167,93,46,39,63,43,3477,,,,,,,,,,
G1100010005100,G11000100051,1980,District of Columbia,11,110,District of Columbia,001,0010,005100,State: 11 County: 001 Tract: 51,1218,513,458,5,129,,236,175,163,70,40,5,0,6,0,0,854,,,,,,,,,,
G1100010005201,G1100010005201,1980,District of Columbia,11,110,District of Columbia,001,0010,005201,State: 11 County: 001 Tract: 52.01,3974,1928,1698,9,202,,941,500,356,211,153,79,105,38,57,57,3038,,,,,,,,,,
G1100010005202,G1100010005202,1980,District of Columbia,11,110,District of Columbia,001,0010,005202,State: 11 County: 001 Tract: 52.02,591,402,139,0,6,,240,96,31,21,26,7,8,0,16,10,513,,,,,,,,,,
G1100010005301,G1100010005301,1980,District of Columbia,11,110,District of Columbia,001,0010,005301,State: 11 County: 001 Tract: 53.01,4636,3377,954,0,170,,799,642,476,375,287,184,99,106,63,41,3637,,,,,,,,,,
G1100010005302,G1100010005302,1980,District of Columbia,11,110,District of Columbia,001,0010,005302,State: 11 County: 001 Tract: 53.02,334,270,32,0,0,,64,36,43,10,18,0,14,8,27,8,380,,,,,,,,,,
G1100010005401,G1100010005401,1980,District of Columbia,11,110,District of Columbia,001,0010,005401,State: 11 County: 001 Tract: 54.01,1680,1361,99,0,101,,339,267,237,163,105,69,42,44,28,27,1477,,,,,,,,,,
G1100010005402,G1100010005402,1980,District of Columbia,11,110,District of Columbia,001,0010,005402,State: 11 County: 001 Tract: 54.02,136,114,9,0,0,,33,28,13,0,15,0,0,6,7,8,115,,,,,,,,,,
G1100010005501,G1100010005501,1980,District of Columbia,11,110,District of Columbia,001,0010,005501,State: 11 County: 001 Tract: 55.01,2876,2447,290,23,140,,531,324,282,251,94,113,100,97,59,50,2226,,,,,,,,,,
G1100010005502,G1100010005502,1980,District of Columbia,11,110,District of Columbia,001,0010,005502,State: 11 County: 001 Tract: 55.02,1097,885,126,7,7,,134,175,111,55,63,44,59,39,59,33,927,,,,,,,,,,
G1100010005600,G11000100056,1980,District of Columbia,11,110,District of Columbia,001,0010,005600,State: 11 County: 001 Tract: 56,4965,4514,220,5,158,,723,412,552,400,363,266,143,273,372,255,4194,,,,,,,,,,
G1100010005701,G1100010005701,1980,District of Columbia,11,110,District of Columbia,001,0010,005701,State: 11 County: 001 Tract: 57.01,4412,4001,206,10,201,,676,277,336,196,85,73,28,44,24,3,1820,,,,,,,,,,
G1100010005702,G1100010005702,1980,District of Columbia,11,110,District of Columbia,001,0010,005702,State: 11 County: 001 Tract: 57.02,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
G1100010005800,G11000100058,1980,District of Columbia,11,110,District of Columbia,001,0010,005800,State: 11 County: 001 Tract: 58,1157,221,384,0,480,,251,69,70,0,30,5,0,15,7,13,549,,,,,,,,,,
G1100010005900,G11000100059,1980,District of Columbia,11,110,District of Columbia,001,0010,005900,State: 11 County: 001 Tract: 59,1112,245,790,0,29,,341,79,0,28,44,10,21,0,0,0,710,,,,,,,,,,
G1100010006001,G1100010006001,1980,District of Columbia,11,110,District of Columbia,001,0010,006001,State: 11 County: 001 Tract: 60.01,2473,1438,960,25,46,,240,337,307,213,170,183,59,119,103,16,1977,,,,,,,,,,
G1100010006002,G1100010006002,1980,District of Columbia,11,110,District of Columbia,001,0010,006002,State: 11 County: 001 Tract: 60.02,799,38,736,0,0,,63,39,18,7,6,9,0,6,0,0,168,,,,,,,,,,
G1100010006100,G11000100061,1980,District of Columbia,11,110,District of Columbia,001,0010,006100,State: 11 County: 001 Tract: 61,1875,1158,759,0,8,,125,104,171,150,192,109,70,146,155,48,1263,,,,,,,,,,
G1100010006201,G1100010006201,1980,District of Columbia,11,110,District of Columbia,001,0010,006201,State: 11 County: 001 Tract: 62.01,49,49,0,0,0,,10,16,0,0,0,0,7,0,0,8,31,,,,,,,,,,
G1100010006202,G1100010006202,1980,District of Columbia,11,110,District of Columbia,001,0010,006202,State: 11 County: 001 Tract: 62.02,18,0,4,0,0,,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,
G1100010006301,G1100010006301,1980,District of Columbia,11,110,District of Columbia,001,0010,006301,State: 11 County: 001 Tract: 63.01,3379,1666,1616,7,22,,296,189,315,272,222,136,147,255,225,104,2583,,,,,,,,,,
G1100010006302,G1100010006302,1980,District of Columbia,11,110,District of Columbia,001,0010,006302,State: 11 County: 001 Tract: 63.02,340,276,84,0,9,,0,23,0,12,0,0,10,0,4,6,59,,,,,,,,,,
G1100010006400,G11000100064,1980,District of Columbia,11,110,District of Columbia,001,0010,006400,State: 11 County: 001 Tract: 64,3373,102,3222,41,0,,828,135,56,83,34,19,5,9,5,7,1282,,,,,,,,,,
G1100010006500,G11000100065,1980,District of Columbia,11,110,District of Columbia,001,0010,006500,State: 11 County: 001 Tract: 65,2573,2082,380,6,57,,195,203,248,162,203,152,61,149,129,59,1703,,,,,,,,,,
G1100010006600,G11000100066,1980,District of Columbia,11,110,District of Columbia,001,0010,006600,State: 11 County: 001 Tract: 66,1988,1764,221,7,9,,210,108,133,93,60,143,63,65,145,23,1190,,,,,,,,,,
G1100010006700,G11000100067,1980,District of Columbia,11,110,District of Columbia,001,0010,006700,State: 11 County: 001 Tract: 67,3744,2083,1626,0,35,,242,157,204,204,103,109,117,220,192,106,1841,,,,,,,,,,
G1100010006801,G1100010006801,1980,District of Columbia,11,110,District of Columbia,001,0010,006801,State: 11 County: 001 Tract: 68.01,2811,164,2626,0,21,,315,109,154,67,86,43,25,37,44,26,1018,,,,,,,,,,
G1100010006802,G1100010006802,1980,District of Columbia,11,110,District of Columbia,001,0010,006802,State: 11 County: 001 Tract: 68.02,2679,99,2672,4,7,,279,106,100,113,84,83,24,40,12,13,946,,,,,,,,,,
G1100010006804,G1100010006804,1980,District of Columbia,11,110,District of Columbia,001,0010,006804,State: 11 County: 001 Tract: 68.04,2028,299,1662,14,16,,7,6,7,0,0,11,7,0,0,0,65,,,,,,,,,,
G1100010006900,G11000100069,1980,District of Columbia,11,110,District of Columbia,001,0010,006900,State: 11 County: 001 Tract: 69,2532,716,1619,50,25,,383,105,140,63,80,97,49,100,51,0,1130,,,,,,,,,,
G1100010007000,G11000100070,1980,District of Columbia,11,110,District of Columbia,001,0010,007000,State: 11 County: 001 Tract: 70,2705,1627,1078,0,29,,277,99,123,93,93,77,60,85,183,31,1194,,,,,,,,,,
G1100010007100,G11000100071,1980,District of Columbia,11,110,District of Columbia,001,0010,007100,State: 11 County: 001 Tract: 71,3274,423,2846,0,10,,560,173,120,92,75,56,61,34,10,14,1292,,,,,,,,,,
G1100010007200,G11000100072,1980,District of Columbia,11,110,District of Columbia,001,0010,007200,State: 11 County: 001 Tract: 72,3056,173,2793,0,19,,679,143,92,41,6,15,8,11,22,0,1051,,,,,,,,,,
G1100010007299,G1100010007299,1980,District of Columbia,11,110,District of Columbia,001,0010,007299,State: 11 County: 001 Tract: 72.99,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
G1100010007301,G1100010007301,1980,District of Columbia,11,110,District of Columbia,001,0010,007301,State: 11 County: 001 Tract: 73.01,7040,4908,1650,16,352,,210,398,359,385,150,42,27,33,36,7,1677,,,,,,,,,,
G1100010007302,G1100010007302,1980,District of Columbia,11,110,District of Columbia,001,0010,007302,State: 11 County: 001 Tract: 73.02,4535,313,4145,0,49,,615,432,255,134,80,69,67,72,30,0,2034,,,,,,,,,,
G1100010007304,G1100010007304,1980,District of Columbia,11,110,District of Columbia,001,0010,007304,State: 11 County: 001 Tract: 73.04,4052,43,4047,0,0,,445,327,211,88,97,51,40,17,19,0,1461,,,,,,,,,,
G1100010007308,G1100010007308,1980,District of Columbia,11,110,District of Columbia,001,0010,007308,State: 11 County: 001 Tract: 73.08,812,119,646,0,9,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
G1100010007401,G1100010007401,1980,District of Columbia,11,110,District of Columbia,001,0010,007401,State: 11 County: 001 Tract: 74.01,3985,0,3867,43,0,,615,151,118,66,57,43,16,29,6,0,1225,,,,,,,,,,
G1100010007404,G1100010007404,1980,District of Columbia,11,110,District of Columbia,001,0010,007404,State: 11 County: 001 Tract: 74.04,6030,4,6012,14,0,,788,326,228,92,86,72,32,15,7,6,1855,,,,,,,,,,
G1100010007405,G1100010007405,1980,District of Columbia,11,110,District of Columbia,001,0010,007405,State: 11 County: 001 Tract: 74.05,7222,7,7209,0,6,,1265,451,278,253,107,69,29,15,24,0,2960,,,,,,,,,,
G1100010007406,G1100010007406,1980,District of Columbia,11,110,District of Columbia,001,0010,007406,State: 11 County: 001 Tract: 74.06,3307,6,3290,0,0,,261,172,198,71,95,32,0,13,13,0,1044,,,,,,,,,,
G1100010007407,G1100010007407,1980,District of Columbia,11,110,District of Columbia,001,0010,007407,State: 11 County: 001 Tract: 74.07,3666,11,3655,0,13,,439,283,183,130,73,21,50,64,9,0,1351,,,,,,,,,,
G1100010007408,G1100010007408,1980,District of Columbia,11,110,District of Columbia,001,0010,007408,State: 11 County: 001 Tract: 74.08,2256,23,2220,0,0,,269,221,137,87,30,41,28,0,0,0,1071,,,,,,,,,,
G1100010007501,G1100010007501,1980,District of Columbia,11,110,District of Columbia,001,0010,007501,State: 11 County: 001 Tract: 75.01,6394,288,6084,0,22,,801,383,277,169,190,62,14,10,53,0,2408,,,,,,,,,,
G1100010007502,G1100010007502,1980,District of Columbia,11,110,District of Columbia,001,0010,007502,State: 11 County: 001 Tract: 75.02,4136,209,3909,0,18,,743,278,262,98,118,74,15,7,24,0,1702,,,,,,,,,,
G1100010007601,G1100010007601,1980,District of Columbia,11,110,District of Columbia,001,0010,007601,State: 11 County: 001 Tract: 76.01,5893,543,5321,10,10,,761,340,344,230,118,118,93,112,28,0,2241,,,,,,,,,,
G1100010007603,G1100010007603,1980,District of Columbia,11,110,District of Columbia,001,0010,007603,State: 11 County: 001 Tract: 76.03,4536,1453,2958,0,95,,424,370,398,310,235,221,105,121,65,36,2388,,,,,,,,,,
G1100010007604,G1100010007604,1980,District of Columbia,11,110,District of Columbia,001,0010,007604,State: 11 County: 001 Tract: 76.04,4642,461,4171,5,0,,471,410,305,302,112,119,53,131,91,6,2034,,,,,,,,,,
G1100010007605,G1100010007605,1980,District of Columbia,11,110,District of Columbia,001,0010,007605,State: 11 County: 001 Tract: 76.05,4016,174,3772,0,22,,316,409,245,340,155,134,111,68,11,0,1859,,,,,,,,,,
G1100010007703,G1100010007703,1980,District of Columbia,11,110,District of Columbia,001,0010,007703,State: 11 County: 001 Tract: 77.03,6849,35,6755,0,8,,813,526,416,271,174,85,56,45,35,0,2633,,,,,,,,,,
G1100010007707,G1100010007707,1980,District of Columbia,11,110,District of Columbia,001,0010,007707,State: 11 County: 001 Tract: 77.07,4780,91,4663,0,26,,473,252,249,156,183,150,103,69,35,27,1734,,,,,,,,,,
G1100010007708,G1100010007708,1980,District of Columbia,11,110,District of Columbia,001,0010,007708,State: 11 County: 001 Tract: 77.08,2992,28,2920,10,0,,550,262,228,92,125,35,0,10,6,0,1443,,,,,,,,,,
G1100010007709,G1100010007709,1980,District of Columbia,11,110,District of Columbia,001,0010,007709,State: 11 County: 001 Tract: 77.09,2560,352,2236,0,0,,485,278,168,98,61,23,35,16,24,6,1202,,,,,,,,,,
G1100010007803,G1100010007803,1980,District of Columbia,11,110,District of Columbia,001,0010,007803,State: 11 County: 001 Tract: 78.03,4966,84,4882,0,0,,736,314,285,181,76,88,76,58,26,0,1962,,,,,,,,,,
G1100010007804,G1100010007804,1980,District of Columbia,11,110,District of Columbia,001,0010,007804,State: 11 County: 001 Tract: 78.04,3885,23,3847,0,9,,634,185,127,70,98,57,20,17,53,5,1311,,,,,,,,,,
G1100010007805,G1100010007805,1980,District of Columbia,11,110,District of Columbia,001,0010,007805,State: 11 County: 001 Tract: 78.05,6413,38,6310,0,15,,892,533,325,246,134,99,68,60,20,0,2528,,,,,,,,,,
G1100010007807,G1100010007807,1980,District of Columbia,11,110,District of Columbia,001,0010,007807,State: 11 County: 001 Tract: 78.07,2501,53,2338,0,7,,409,107,124,60,33,33,42,20,0,0,933,,,,,,,,,,
G1100010007808,G1100010007808,1980,District of Columbia,11,110,District of Columbia,001,0010,007808,State: 11 County: 001 Tract: 78.08,5927,19,5944,6,0,,736,277,188,213,103,82,64,27,0,9,1858,,,,,,,,,,
G1100010007901,G1100010007901,1980,District of Columbia,11,110,District of Columbia,001,0010,007901,State: 11 County: 001 Tract: 79.01,4654,90,4455,0,102,,718,294,203,220,118,46,28,46,25,0,1847,,,,,,,,,,
G1100010007903,G1100010007903,1980,District of Columbia,11,110,District of Columbia,001,0010,007903,State: 11 County: 001 Tract: 79.03,2437,0,2444,0,0,,348,149,116,87,117,61,56,23,5,0,958,,,,,,,,,,
